Time,NodeId,Delay
13.1786,36,0.645985
13.1786,36,0.408782
13.179,36,0.396159
13.1791,403,0.290351
13.1791,401,0.72125
13.1793,36,0.362327
13.1796,402,0.44611
13.1798,405,0.876692
13.1798,408,0.220576
13.1799,36,0.819621
13.1801,407,0.417984
13.1803,406,0.649261
13.1805,36,0.410516
13.1807,403,0.291935
13.1809,36,0.726563
13.1809,36,0.363977
13.1811,36,0.398093
13.1813,401,0.72125
13.1815,408,0.220576
13.1818,36,0.640221
13.1821,402,0.44866
13.1822,407,0.416028
13.1822,403,0.290218
13.1825,36,0.412424
13.1826,36,0.365628
13.1827,36,1.28183
13.1831,408,0.222227
13.1831,406,0.652094
13.1833,405,0.88018
13.1833,36,0.400222
13.1835,36,0.729113
13.1837,400,0.381083
13.1838,403,0.291802
13.1842,36,0.367278
13.1843,407,0.418157
13.1844,36,0.414158
13.1846,36,0.643103
13.1847,402,0.44866
13.1848,408,0.221948
13.1854,403,0.290584
13.1856,400,0.381083
13.1856,36,0.402351
13.1859,36,0.368928
13.186,36,0.731663
13.1862,406,0.651788
13.1863,36,0.416067
13.1864,408,0.223599
13.1865,407,0.416201
13.1867,405,0.880786
13.187,403,0.292168
13.1874,402,0.451443
13.1875,36,0.370579
13.1875,36,0.640226
13.188,36,0.469965
13.1881,408,0.223877
13.1881,36,0.40487
13.1882,36,0.417801
13.1886,36,0.734213
13.1886,403,0.290584
13.1886,407,0.41833
13.1892,36,0.372229
13.1893,406,0.65488
13.1896,405,0.883668
13.1897,408,0.223877
13.19,402,0.448426
13.19,36,1.28914
13.1902,403,0.292168
13.1903,36,0.419891
13.1903,401,0.730245
13.1904,36,0.402741
13.1904,36,1.32779
13.1907,36,0.643372
13.1907,407,0.416374
13.1908,36,0.37388
13.1911,36,0.736763
13.1913,36,0.466931
13.1914,408,0.225528
13.1917,36,0.831449
13.1917,403,0.292168
13.192,36,0.421443
13.1921,406,0.655608
13.1924,401,0.718633
13.1925,36,0.37553
13.1925,405,0.883668
13.1926,36,0.404675
13.1928,402,0.45121
13.1929,407,0.418503
13.1929,36,0.468581
13.193,408,0.225528
13.1933,400,0.38884
13.1933,403,0.293751
13.1937,36,0.739313
13.1938,36,0.64049
13.1939,36,0.423352
13.194,36,0.812312
13.1942,36,1.29329
13.1945,36,0.377528
13.1946,401,0.720784
13.1947,408,0.227178
13.1947,36,0.406804
13.1949,36,0.464244
13.1949,403,0.293751
13.195,407,0.416548
13.195,406,0.65844
13.1952,400,0.38884
13.1953,402,0.45121
13.1957,405,0.886853
13.1958,36,0.465109
13.1958,36,0.425093
13.1962,36,0.379269
13.1963,408,0.227178
13.1964,36,0.726563
13.1965,403,0.295335
13.1967,36,0.643372
13.1968,36,0.406804
13.1969,36,0.815147
13.1971,401,0.711256
13.1971,407,0.418677
13.1971,400,0.390749
13.1974,36,0.460357
13.1977,36,0.42682
13.1978,36,0.380853
13.1978,406,0.649684
13.1979,402,0.45376
13.198,408,0.228829
13.1981,403,0.295335
13.1986,405,0.863531
13.1988,36,1.29796
13.1989,36,0.461941
13.199,36,0.408982
13.199,36,0.729113
13.199,400,0.390749
13.1992,401,0.713407
13.1992,407,0.416721
13.1994,36,0.382437
13.1996,36,0.631838
13.1996,408,0.228829
13.1996,36,0.428728
13.1997,403,0.296919
13.1998,36,0.812172
13.2004,402,0.45376
13.2005,36,0.458773
13.2006,406,0.652516
13.201,400,0.390749
13.201,36,0.38402
13.2011,36,0.406804
13.2012,403,0.296774
13.2013,408,0.230479
13.2014,407,0.41885
13.2015,405,0.866413
13.2015,36,0.428728
13.202,36,0.72958
13.2021,36,0.460357
13.2025,36,0.385604
13.2027,36,0.634984
13.2029,400,0.392657
13.2029,408,0.230479
13.203,402,0.45631
13.203,403,0.298503
13.203,36,0.81534
13.2032,36,0.408933
13.2035,36,0.430637
13.2035,406,0.652516
13.2035,401,0.715558
13.2037,36,0.455606
13.2037,407,0.419045
13.2041,36,0.387188
13.2046,403,0.298503
13.2046,408,0.232129
13.2048,36,0.732364
13.2049,400,0.392832
13.2049,405,0.849462
13.205,36,1.30408
13.2051,36,1.34246
13.2053,36,0.45719
13.2053,36,0.410867
13.2054,36,0.336964
13.2056,36,0.637602
13.2057,401,0.71771
13.2057,36,0.812145
13.2058,402,0.456543
13.206,407,0.418995
13.2061,403,0.296774
13.2062,36,0.38921
13.2062,408,0.232074
13.2063,406,0.655349
13.2069,400,0.39474
13.2069,36,0.435016
13.2073,36,1.32992
13.2073,36,0.338849
13.2073,36,0.390384
13.2073,36,0.73213
13.2075,36,0.412996
13.2077,403,0.298358
13.2078,401,0.7117
13.2079,408,0.233725
13.2081,407,0.421124
13.2082,36,0.814626
13.2084,405,0.85295
13.2085,36,0.640221
13.2085,402,0.459326
13.2086,36,0.431892
13.2088,400,0.39474
13.2091,36,0.392128
13.2091,406,0.65509
13.2092,36,0.336766
13.2093,403,0.296774
13.2094,36,1.33207
13.2095,408,0.23378
13.2096,36,0.412996
13.2099,36,0.73468
13.21,401,0.713851
13.21,36,0.433287
13.2103,407,0.419586
13.2106,36,0.393685
13.2107,400,0.396649
13.2109,403,0.298358
13.2111,36,0.817237
13.2111,402,0.459326
13.2111,36,0.338706
13.2112,408,0.23543
13.2116,36,0.434726
13.2116,36,0.643367
13.2117,36,0.415125
13.2121,401,0.70964
13.2122,406,0.658181
13.2123,36,0.395335
13.2124,407,0.421715
13.2124,36,1.31156
13.2125,403,0.296774
13.2126,400,0.396649
13.2128,405,0.8487
13.2128,408,0.23543
13.2129,36,0.734913
13.213,36,0.332774
13.2132,36,0.43631
13.2139,36,0.81694
13.2139,402,0.46211
13.214,36,0.415125
13.2141,403,0.298358
13.2143,401,0.711792
13.2143,36,0.397355
13.2145,400,0.398558
13.2145,408,0.237081
13.2145,36,0.640532
13.2145,407,0.421715
13.2148,36,0.437749
13.2149,36,0.334683
13.2153,406,0.652496
13.2155,36,0.737463
13.2156,36,0.398636
13.2156,403,0.296596
13.216,405,0.851885
13.2161,408,0.237081
13.2162,36,0.417254
13.2164,36,0.439333
13.2164,400,0.398558
13.2164,401,0.711792
13.2164,402,0.46211
