Time,Hops
2.31902,3
2.31925,3
2.31947,2
2.31948,3
2.31972,3
2.31985,3
2.31995,3
2.32041,2
2.32089,5
2.32103,2
2.32106,2
2.3215,3
2.32232,2
2.32264,2
2.32285,2
2.32306,2
2.32315,3
2.32327,2
2.32348,2
2.32369,2
2.32372,5
2.3239,2
2.32411,2
2.32423,2
2.32431,2
2.32452,2
2.32452,3
2.32473,2
2.3248,3
2.32494,2
2.32515,2
2.32536,2
2.32557,2
2.32614,2
2.32645,3
2.32651,2
2.32655,5
2.32683,2
2.32805,2
2.32809,2
2.3281,3
2.32939,5
2.32971,2
2.32975,3
2.32979,3
2.32992,2
2.32995,2
2.33126,2
2.3314,3
2.33186,2
2.33222,5
2.3326,2
2.33284,2
2.33305,3
2.33377,2
2.33467,2
2.3347,3
2.33497,3
2.33505,5
2.33548,2
2.33568,2
2.33586,2
2.33601,2
2.33635,3
2.33776,2
2.33788,5
2.33794,2
2.338,3
2.33836,2
2.33918,2
2.33965,3
2.33967,2
2.33985,2
2.34002,2
2.3402,2
2.3402,3
2.34037,2
2.34055,2
2.34071,5
2.34072,2
2.34076,2
2.3409,2
2.34107,2
2.34124,2
2.34124,2
2.3413,3
2.34142,2
2.34151,2
2.34159,2
2.34177,2
2.34194,2
2.34212,2
2.34229,2
2.34247,2
2.34264,2
2.34267,2
2.34282,2
2.34296,3
2.34355,5
2.34393,2
2.34439,2
2.34461,3
2.34492,3
2.34508,2
2.34551,2
2.34626,3
2.34638,5
2.3471,2
2.34727,2
2.34791,3
2.34829,2
2.34921,5
2.34956,3
2.35015,2
2.35038,3
2.35039,2
2.3506,2
2.35121,3
2.35151,2
2.35204,5
2.3523,5
2.35256,5
2.35259,2
2.35286,3
2.35304,2
2.35343,2
2.35451,3
2.35473,2
2.35513,3
2.3554,5
2.35592,2
2.35616,3
2.35781,3
2.35795,2
2.35823,5
2.35849,5
2.3588,2
2.35946,3
2.36031,3
2.36111,3
2.36117,2
2.36132,5
2.36168,2
2.36276,3
2.36415,5
2.36438,2
2.36441,3
2.36441,5
2.36457,2
2.36467,5
2.36483,2
2.36493,5
2.36498,2
2.36519,2
2.36519,5
2.3654,2
2.36545,5
2.36561,2
2.36569,3
2.36571,5
2.36582,2
2.36597,5
2.36603,2
2.36606,3
2.36621,3
2.36623,5
2.36624,2
2.36644,2
2.36648,5
2.3676,2
2.36769,2
2.36771,2
2.36786,3
2.36885,5
2.36927,2
2.36951,3
2.36966,3
2.36982,3
2.36997,3
2.37012,3
2.37027,3
2.37042,3
2.37042,3
2.37057,3
2.37059,2
2.37072,3
2.37082,2
2.37086,2
2.37087,3
2.37091,2
2.37102,3
2.37112,2
2.37117,3
2.37133,3
2.37138,2
2.37148,3
2.37163,3
2.37165,2
2.37191,2
2.37244,2
2.37402,2
2.37404,2
2.37468,5
2.37476,3
2.37572,3
2.37582,2
2.37658,2
2.37719,2
2.37726,2
2.37806,3
2.37897,2
2.37951,2
2.38036,2
2.38047,2
2.38062,3
2.38136,3
2.38141,5
2.38194,2
2.38239,2
2.38352,2
2.38369,2
2.38424,5
2.38466,3
2.38511,2
2.38527,2
2.38572,3
2.38669,2
2.38691,2
2.38707,5
2.38796,3
2.38816,2
2.38857,2
2.38986,2
2.3899,5
2.39013,2
2.39082,3
2.39104,2
2.39126,3
2.39144,2
2.39273,5
2.39314,2
2.39335,2
2.39392,2
2.39456,3
2.39461,2
2.39557,5
2.39631,3
2.3964,2
2.39656,2
