Time,Bytes
9.76547,590
9.76553,54
9.76571,54
9.76579,590
9.76579,54
9.76644,590
9.76691,590
9.76695,590
9.76722,542
9.76736,54
9.76744,590
9.76759,54
9.76799,590
9.76826,590
9.76849,590
9.76863,590
9.76886,590
9.76924,590
9.76935,590
9.77002,542
9.77007,590
9.77029,590
9.77077,590
9.77081,590
9.77082,590
9.77089,590
9.7713,542
9.77146,590
9.77166,590
9.77254,590
9.77268,590
9.77318,590
9.77324,590
9.77336,590
9.77343,590
9.77344,54
9.77391,590
9.77419,590
9.77429,590
9.77434,54
9.77459,590
9.77482,590
9.77539,542
9.77591,590
9.77599,590
9.77632,590
9.77641,590
9.77649,590
9.77712,590
9.77738,54
9.77749,542
9.77752,590
9.77764,590
9.77799,590
9.7784,590
9.77846,590
9.77869,54
9.77893,54
9.7792,590
9.77929,590
9.77932,590
9.77944,54
9.77947,54
9.77947,542
9.77958,590
9.77959,54
9.78021,590
9.78031,590
9.78116,590
9.78124,590
9.78124,590
9.78138,590
9.7816,590
9.78215,590
9.78222,590
9.78232,54
9.78246,590
9.78274,590
9.78289,590
9.78305,590
9.78356,542
9.78379,590
9.78402,54
9.78413,590
9.78433,590
9.78454,590
9.7847,54
9.78496,542
9.78519,54
9.78569,590
9.78588,590
9.78591,590
9.78604,590
9.78614,54
9.78635,590
9.78657,590
9.78749,590
9.78764,542
9.78795,590
9.788,590
9.78833,590
9.78886,590
9.78897,590
9.78908,590
9.78912,590
9.78965,590
9.78977,590
9.7898,54
9.78985,590
9.79066,590
9.79099,590
9.79117,590
9.79145,590
9.7916,54
9.79167,590
9.79173,542
9.79176,590
9.7918,590
9.79225,590
9.79243,542
9.79309,54
9.79325,590
9.79367,590
9.79383,590
9.79383,54
9.79386,590
9.79422,590
9.79464,590
9.79489,54
9.7949,590
9.79541,590
9.79558,590
9.79581,542
9.79633,590
9.79655,590
9.7967,54
9.79676,590
9.79677,590
9.797,590
9.79749,590
9.79773,590
9.79794,590
9.79835,590
9.79858,590
9.79873,54
9.79887,54
9.79902,54
9.79902,54
9.79916,54
9.79931,54
9.79932,590
9.7994,590
9.79957,54
9.79964,590
9.79975,54
9.7999,542
9.79991,542
9.8,590
9.80056,590
9.80089,590
9.80165,590
9.80166,590
9.80183,54
9.80187,590
9.802,54
9.80203,590
9.80211,54
9.80218,54
9.80235,54
9.80247,590
9.80253,590
9.80253,54
9.8027,54
9.80288,54
9.80305,54
9.80323,54
9.8033,590
9.80339,590
9.8034,54
9.8038,590
9.80398,542
9.80406,590
9.80466,590
9.80495,590
9.8051,54
9.80531,590
9.80536,54
9.80559,590
9.80564,590
9.80579,54
9.80593,54
9.80608,54
9.80611,590
9.80622,54
9.80622,590
9.80637,54
9.80648,54
9.80651,54
9.80666,54
9.80676,590
9.8068,54
9.80695,54
9.80709,54
9.80721,590
9.80722,590
9.80724,54
9.80738,542
9.80738,54
9.80753,54
9.80767,54
9.80782,54
9.80796,54
9.80807,542
9.80811,54
9.80825,54
9.80829,590
9.8084,54
9.80841,590
9.80842,590
9.80854,54
9.80869,54
9.80883,54
9.80898,54
9.80913,590
9.80932,590
9.80976,590
9.80999,54
9.81006,590
9.8102,590
9.81021,54
9.81035,54
9.81056,590
9.81104,590
9.81117,590
9.81128,590
9.81186,590
9.81214,590
9.81215,590
9.81215,542
9.81241,54
9.81254,590
9.81267,54
9.81295,590
9.81351,590
9.81366,54
9.81373,590
9.81406,590
9.81428,590
9.81485,590
9.81485,542
9.81509,590
9.81531,590
9.81531,590
9.8155,590
9.81624,542
9.81676,590
9.81689,590
9.81692,590
9.81694,590
9.81696,590
9.81764,590
9.81787,54
9.81811,54
9.81833,590
9.81837,590
9.81848,590
9.81861,590
9.81867,590
9.81875,590
9.8191,54
9.81982,590
9.82006,590
9.82008,54
9.82026,590
9.82032,542
9.82041,54
9.82058,590
9.82066,590
9.82116,590
9.82142,54
9.82165,590
9.82168,54
9.82194,54
9.82206,590
9.8222,54
9.82233,542
9.82245,590
9.82246,54
9.82249,590
9.82272,54
9.82297,590
9.8231,590
9.82321,590
9.82323,590
9.82344,54
9.82367,54
9.82371,590
9.82386,54
9.8244,590
9.82441,542
9.82481,590
9.82551,590
9.82555,590
9.82585,590
9.82593,590
9.82611,54
9.82622,590
9.82622,590
9.82631,590
9.8264,590
9.82654,590
9.82716,590
9.82732,54
9.82798,590
9.82821,590
9.82838,590
9.82849,542
9.8285,54
9.82877,590
9.82895,54
9.82897,590
9.82901,54
9.82912,54
9.82924,54
9.82947,54
9.82957,590
9.8298,542
9.83012,590
9.83043,54
9.83062,590
9.83077,590
9.83115,590
9.83122,590
9.83202,590
9.83203,590
9.83242,590
9.83258,542
9.83273,590
9.8337,590
9.83394,590
9.83405,590
9.83407,590
9.83432,590
9.83457,590
9.83471,590
9.83475,590
9.83572,590
9.83585,590
9.8359,590
9.83666,542
9.8368,590
9.83688,590
9.83712,590
9.83714,54
9.83727,542
9.83737,590
9.83748,590
9.83764,590
9.83776,590
9.8379,54
9.83865,590
9.83879,590
9.83902,590
9.83907,590
9.83967,590
9.83967,590
9.83997,590
9.8405,590
9.84065,590
9.84067,590
9.84075,542
9.84117,590
9.84157,590
9.84222,590
9.84224,590
9.84228,54
9.84232,590
9.84246,54
9.84281,590
9.84288,590
9.84336,54
9.84348,590
9.84382,590
9.84397,590
9.84475,542
9.84483,542
9.84501,590
9.84539,590
9.8454,590
9.84562,590
9.84564,590
9.8459,54
9.84628,590
9.84696,590
9.84699,590
9.84727,590
9.8473,590
9.84756,590
9.84857,590
9.84864,590
9.84873,590
9.84892,542
9.84892,590
9.84911,590
9.84917,590
9.84921,590
9.84928,54
9.84938,54
9.84956,54
9.84973,54
9.84991,54
9.85011,590
9.85016,590
9.85057,590
9.85105,590
9.85156,590
9.85174,590
9.85182,590
9.85201,54
9.85222,542
9.85222,590
9.85266,590
9.853,542
9.85332,590
9.85372,590
9.85387,590
9.85439,590
9.85491,590
9.85513,590
9.85521,590
9.85552,590
9.85563,590
9.85611,590
9.85649,590
9.85709,542
9.85717,590
9.85723,590
9.85754,590
9.85772,54
9.85776,590
9.85777,54
9.85787,590
9.85807,590
9.85882,590
9.85922,590
9.85953,54
9.85962,590
9.85966,590
9.85969,542
9.86006,590
9.86031,590
9.86048,590
9.8607,590
9.8607,590
9.86087,54
9.86117,542
9.86124,590
9.86153,590
9.86213,590
9.86283,590
9.86286,590
9.86289,590
9.86315,54
9.8633,590
9.86344,590
9.86358,590
9.86359,590
9.86378,590
9.86441,590
9.86526,542
9.86535,590
9.86541,590
9.86543,590
9.86598,590
9.86599,590
9.86642,54
9.86708,590
9.86717,542
9.86726,590
9.86739,590
9.86758,590
9.86796,590
9.86873,590
9.86882,590
9.86907,54
9.86916,590
9.86917,590
9.86931,54
9.86933,54
9.86934,542
9.86945,54
9.8696,54
9.86974,54
9.86989,54
9.86997,590
9.87003,54
9.87038,590
9.87051,590
9.87074,54
9.87097,54
9.87106,590
9.87108,590
9.87139,590
9.87147,590
9.87161,590
9.87203,590
9.87217,590
9.87218,54
9.87281,590
9.87298,590
9.8732,590
9.87343,542
9.87352,590
9.87368,590
9.87464,542
9.87478,590
9.87489,590
9.87493,54
9.875,590
9.87507,54
9.87511,590
9.87522,54
9.87533,590
9.87536,54
9.87551,54
9.87556,590
9.87565,54
9.8758,54
9.87594,54
9.87607,590
9.8768,590
9.87698,590
9.87705,54
9.87751,542
9.87753,590
9.87783,590
9.87795,54
9.87853,590
9.87862,590
9.87863,590
9.87871,590
9.87911,590
9.87964,590
9.88003,590
9.88028,590
9.88062,590
9.88066,590
9.88069,590
9.88079,54
9.88088,590
9.88092,54
9.88097,54
9.88114,54
9.88117,590
9.88118,54
9.88132,54
9.88149,54
9.8816,542
9.88167,54
9.88184,54
9.88193,590
9.88202,54
9.88211,542
9.88228,590
9.88242,54
9.88257,54
9.88297,590
9.88358,590
9.88372,590
9.88373,590
9.88376,590
9.88393,590
9.88401,590
9.88402,54
9.88415,590
9.88427,54
9.8843,54
9.88444,54
9.88453,54
9.88459,54
9.88473,54
9.88479,54
9.88482,590
9.88488,54
9.88502,54
9.88505,54
9.88523,590
9.88531,54
9.88557,54
9.88568,542
9.88583,590
9.88601,590
9.88601,54
9.88618,54
9.88627,590
9.8866,590
9.88675,54
9.88688,590
9.88781,590
9.88809,590
9.88827,54
9.88833,590
9.8884,590
9.88844,54
9.88852,590
9.88853,590
9.88882,590
9.88958,542
9.88974,54
9.88977,542
9.88992,590
9.89018,590
9.89035,590
9.89052,54
9.8907,54
9.89123,590
9.89136,590
9.89137,590
9.8915,590
9.89153,54
9.89183,590
9.8919,590
9.89261,590
9.89267,590
9.89308,590
9.89348,590
9.89348,590
9.89385,542
9.89392,590
9.89407,590
9.89445,590
9.89452,590
9.89467,590
9.89513,590
9.89555,590
9.89598,590
9.89625,590
9.89643,590
9.89647,590
9.89678,590
9.8969,590
9.89706,542
9.89728,590
9.89784,590
9.89794,542
9.89833,590
9.89839,54
9.89843,590
9.89902,590
9.89926,54
9.89942,590
9.89949,54
9.89973,590
9.90007,590
9.90009,590
9.90011,590
9.90022,54
9.90024,590
9.90028,54
9.90095,590
9.901,590
9.90132,590
9.90174,590
9.90202,542
9.90204,590
9.90215,590
9.90256,590
9.90259,590
9.90282,54
9.90339,590
9.90376,590
9.90406,590
9.90415,54
9.90415,590
9.90417,590
9.90453,542
9.90459,590
9.90504,590
9.90561,590
9.90566,590
9.90576,590
9.90597,590
9.90611,542
9.90669,590
9.90714,590
9.90734,590
9.90788,590
9.90824,590
9.90834,590
9.90843,590
9.90849,590
9.90892,590
9.90969,590
9.90979,590
9.90992,54
9.90992,54
9.90999,590
9.91019,542
9.91051,590
9.91132,590
9.91164,590
9.91169,590
9.9117,590
9.912,542
9.91209,590
9.91232,590
9.91234,590
9.91247,590
9.91329,590
9.9136,590
9.91367,590
9.91415,590
9.91428,542
9.91453,590
9.9147,54
9.91494,590
9.91502,590
9.91526,590
9.91534,590
9.91551,590
9.91573,590
9.9159,590
9.91641,590
9.91659,590
9.91684,590
9.91699,590
9.9172,590
9.91742,590
9.91757,590
9.91815,486
9.91824,590
9.91836,542
9.91861,590
9.91887,54
9.91933,590
9.91948,542
9.91973,590
9.91982,590
9.91989,590
9.92012,590
9.92036,54
9.92046,590
9.92049,590
9.92063,54
9.92124,590
9.92131,590
9.92154,590
9.92245,542
9.92265,590
9.9229,590
9.92291,590
9.92314,54
9.92315,590
9.92319,590
9.92337,590
9.92392,54
9.92448,590
9.92458,590
9.92459,54
9.92484,590
9.92505,590
9.92548,590
9.92569,590
9.92607,590
9.92649,590
9.92653,542
9.92664,590
9.92695,542
9.92696,590
9.92761,398
9.92765,590
